Admin2,averagesalary
Alachua,   53283
Baker,   36319
Bay,   45970
Bradford,   39770
Brevard,   55557
Broward,   58998
Calhoun,   35214
Charlotte,   43322
Citrus,   40339
Clay,   43217
Collier,   54655
Columbia,   41126
DeSoto,   40600
Dixie,   36335
Duval,   58705
Escambia,   48924
Flagler,   38631
Franklin,   34851
Gadsden,   38378
Gilchrist,   41748
Glades,   46561
Gulf,   42511
Hamilton,   50845
Hardee,   37808
Hendry,   42716
Hernando,   40930
Highlands,   37913
Hillsborough,   60962
Holmes,   33734
Indian River,   47103
Jackson,   38801
Jefferson,   35796
Lafayette,   35757
Lake,   42002
Lee,49752
Leon,49815
Levy,35583
Liberty,40285
Madison,35212
Manatee,48068
Marion,42359
Martin,46999
Miami-Dade,60859
Monroe,47326
Nassau,45078
Okaloosa,52297
Okeechobee,40580
Orange,56650
Osceola,41431
Palm Beach,61745
Pasco,44166
Pinellas,54681
Polk,46745
Putnam,43328
Santa Rosa,41551
Sarasota,51166
Seminole,53823
St. Johns,48972
St. Lucie,44969
Sumter,45753
Suwannee,37747
Taylor,41744
Union,39849
Volusia,44445
Wakulla,42457
Walton,43902
Washington,38028
