Admin2, vaccination 
Alachua, 0.57 
Baker, 0.28 
Bay, 0.40 
Bradford, 0.39 
Brevard, 0.54 
Broward, 0.64 
Calhoun, 0.29 
Charlotte, 0.65 
Citrus, 0.50 
Clay, 0.40 
Collier, 0.63 
Columbia, 0.33 
DeSoto, 0.45 
Dixie, 0.30 
Duval, 0.47 
Escambia, 0.41 
Flagler, 0.58 
Franklin, 0.41 
Gadsden, 0.49 
Gilchrist, 0.30 
Glades, 0.41 
Gulf, 0.38 
Hamilton, 0.28 
Hardee, 0.35 
Hendry, 0.42 
Hernando, 0.47 
Highlands, 0.51 
Hillsborough, 0.52 
Holmes, 0.24 
Indian River, 0.64 
Jackson, 0.35 
Jefferson, 0.44 
Lafayette, 0.33 
Lake, 0.56 
Lee, 0.56 
Leon, 0.49 
Levy, 0.39 
Liberty, 0.28 
Madison, 0.36 
Manatee, 0.55 
Marion, 0.50 
Martin, 0.58 
Miami-Dade, 0.70 
Monroe, 0.67 
Nassau, 0.49 
Okaloosa, 0.42 
Okeechobee, 0.37 
Orange, 0.57 
Osceola, 0.58 
Palm Beach, 0.61 
Pasco, 0.53 
Pinellas, 0.56 
Polk, 0.49 
Putnam, 0.37 
Santa Rosa, 0.41 
Sarasota, 0.67 
Seminole, 0.56 
St. Johns, 0.60 
St. Lucie, 0.54 
Sumter, 0.68 
Suwannee, 0.29 
Taylor, 0.33 
Union, 0.28 
Volusia, 0.52 
Wakulla, 0.41 
Walton, 0.45 
Washington, 0.30 
